JGS,CommunityOnly,StateOnly,CommunityOnlyStripped,MatchColumn,PORT,PORT_NAME,PORT_STATE,BRAD_PORT_NAME_STATE,NoParen
FALMOUTH_MA,FALMOUTH,MA,FALMOUTH,FALMOUTHMA,241001,FALMOUTH (FALMOUTH CENTER),MA,FALMOUTH (FALMOUTH CENTER)_MA,FALMOUTH_MA
GLOUCESTER_MA,GLOUCESTER,MA,GLOUCESTER,GLOUCESTERMA,240207,GLOUCESTER,MA,GLOUCESTER_MA,GLOUCESTER_MA
STONINGTON_MYSTIC_PAWCATUCK_CT,STONINGTON_MYSTIC_PAWCATUCK,CT,STONINGTONMYSTICPAWCATUCK,STONINGTONMYSTICPAWCATUCKCT,NA,NA,NA,NA,NA
BOSTON_MA,BOSTON,MA,BOSTON,BOSTONMA,240115,BOSTON,MA,BOSTON_MA,BOSTON_MA
ATLANTIC CITY_NJ,ATLANTIC CITY,NJ,ATLANTICCITY,ATLANTICCITYNJ,330201,ATLANTIC CITY,NJ,ATLANTIC CITY_NJ,ATLANTIC CITY_NJ
NEW BEDFORD_MA,NEW BEDFORD,MA,NEWBEDFORD,NEWBEDFORDMA,240403,NEW BEDFORD,MA,NEW BEDFORD_MA,NEW BEDFORD_MA
PORTLAND_ME,PORTLAND,ME,PORTLAND,PORTLANDME,220101,PORTLAND,ME,PORTLAND_ME,PORTLAND_ME
POINT JUDITH_RI,POINT JUDITH,RI,POINTJUDITH,POINTJUDITHRI,420209,POINT JUDITH,RI,POINT JUDITH_RI,POINT JUDITH_RI
WANCHESE_NC,WANCHESE,NC,WANCHESE,WANCHESENC,360219,WANCHESE,NC,WANCHESE_NC,WANCHESE_NC
BARNSTABLE_MA,BARNSTABLE,MA,BARNSTABLE,BARNSTABLEMA,240901,BARNSTABLE (COUNTY),MA,BARNSTABLE (COUNTY)_MA,BARNSTABLE_MA
BARNSTABLE_MA,BARNSTABLE,MA,BARNSTABLE,BARNSTABLEMA,241201,BARNSTABLE,MA,BARNSTABLE_MA,BARNSTABLE_MA
ORIENTAL_NC,ORIENTAL,NC,ORIENTAL,ORIENTALNC,360437,ORIENTAL,NC,ORIENTAL_NC,ORIENTAL_NC
BELFORD_NJ,BELFORD,NJ,BELFORD,BELFORDNJ,331125,BELFORD,NJ,BELFORD_NJ,BELFORD_NJ
