JGS,CommunityOnly,StateOnly,CommunityOnlyStripped,MatchColumn,PORT,PORT_NAME,PORT_STATE,BRAD_PORT_NAME_STATE,NoParen
STONINGTON_MYSTIC_PAWCATUCK_CT,STONINGTON_MYSTIC_PAWCATUCK,CT,STONINGTONMYSTICPAWCATUCK,STONINGTONMYSTICPAWCATUCKCT,NA,NA,NA,NA,NA
SCITUATE_NORTH_SCITUATE_MA,SCITUATE_NORTH_SCITUATE,MA,SCITUATENORTHSCITUATE,SCITUATENORTHSCITUATEMA,NA,NA,NA,NA,NA
PROVINCETOWN_MA,PROVINCETOWN,MA,PROVINCETOWN,PROVINCETOWNMA,NA,NA,NA,NA,NA
HATTERAS_AVON_BUXTON_FRISCO_HATTERAS_RODANTHE_SALVO_WAVES_NC,HATTERAS_AVON_BUXTON_FRISCO_HATTERAS_RODANTHE_SALVO_WAVES,NC,HATTERASAVONBUXTONFRISCOHATTERASRODANTHESALVOWAVES,HATTERASAVONBUXTONFRISCOHATTERASRODANTHESALVOWAVESNC,NA,NA,NA,NA,NA
BRISTOL_NEW_HARBOR_PEMAQUID_ME,BRISTOL_NEW_HARBOR_PEMAQUID,ME,BRISTOLNEWHARBORPEMAQUID,BRISTOLNEWHARBORPEMAQUIDME,NA,NA,NA,NA,NA
PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD_ME,PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD,ME,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEAD,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEADME,NA,NA,NA,NA,NA
OCEAN CITY_MD,OCEAN CITY,MD,OCEANCITY,OCEANCITYMD,NA,NA,NA,NA,NA
NORTH_KINGSTOWN_SAUNDERSTOWN_RI,NORTH_KINGSTOWN_SAUNDERSTOWN,RI,NORTHKINGSTOWNSAUNDERSTOWN,NORTHKINGSTOWNSAUNDERSTOWNRI,NA,NA,NA,NA,NA
VIRGINIA BEACH/LYNNHAVEN_VA,VIRGINIA BEACH/LYNNHAVEN,VA,VIRGINIABEACHLYNNHAVEN,VIRGINIABEACHLYNNHAVENVA,NA,NA,NA,NA,NA
MARSHFIELD_GREEN_HARBOR_CEDAR_CREST_MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK_MA,MARSHFIELD_GREEN_HARBOR_CEDAR_CREST_MARSHFIELD_HILLS_OCEAN_BLUFF_BRANT_ROCK,MA,MARSHFIELDGREENHARBORCEDARCRESTMARSHFIELDHILLSOCEANBLUFFBRANTROCK,MARSHFIELDGREENHARBORCEDARCRESTMARSHFIELDHILLSOCEANBLUFFBRANTROCKMA,NA,NA,NA,NA,NA
DISTRICT_1_GRAFTON_SEAFORD_YORKTOWN_VA,DISTRICT_1_GRAFTON_SEAFORD_YORKTOWN,VA,DISTRICT1GRAFTONSEAFORDYORKTOWN,DISTRICT1GRAFTONSEAFORDYORKTOWNVA,NA,NA,NA,NA,NA
SANDWICH_EAST_SANDWICH_FORESTDALE_MA,SANDWICH_EAST_SANDWICH_FORESTDALE,MA,SANDWICHEASTSANDWICHFORESTDALE,SANDWICHEASTSANDWICHFORESTDALEMA,NA,NA,NA,NA,NA
BEALS ISLAND_ME,BEALS ISLAND,ME,BEALSISLAND,BEALSISLANDME,NA,NA,NA,NA,NA
STUEBEN_ME,STUEBEN,ME,STUEBEN,STUEBENME,NA,NA,NA,NA,NA
KITTERY_KITTERY_POINT_ME,KITTERY_KITTERY_POINT,ME,KITTERYKITTERYPOINT,KITTERYKITTERYPOINTME,NA,NA,NA,NA,NA
HAMPTON_BAYS_SHINNECOCK_NY,HAMPTON_BAYS_SHINNECOCK,NY,HAMPTONBAYSSHINNECOCK,HAMPTONBAYSSHINNECOCKNY,NA,NA,NA,NA,NA
GOULDSBORO_COREA_PROSPECT_HARBOR_ME,GOULDSBORO_COREA_PROSPECT_HARBOR,ME,GOULDSBOROCOREAPROSPECTHARBOR,GOULDSBOROCOREAPROSPECTHARBORME,NA,NA,NA,NA,NA
HARPSWELL_BAILEY_ISLAND_ME,HARPSWELL_BAILEY_ISLAND,ME,HARPSWELLBAILEYISLAND,HARPSWELLBAILEYISLANDME,NA,NA,NA,NA,NA
BARNEGAT LIGHT/LONG BEACH_NJ,BARNEGAT LIGHT/LONG BEACH,NJ,BARNEGATLIGHTLONGBEACH,BARNEGATLIGHTLONGBEACHNJ,NA,NA,NA,NA,NA
REEDVILLE_DISTRICT_5_VA,REEDVILLE_DISTRICT_5,VA,REEDVILLEDISTRICT5,REEDVILLEDISTRICT5VA,NA,NA,NA,NA,NA
